url,status,title,canonical,h1_count,internal_links,external_links,images,schemas
https://normanmechanicalinc.com/hello-world-3/,200,Hello World 3 - Norman Mechanical Inc.,https://normanmechanicalinc.com/hello-world-3/,1,59,13,11,1
https://normanmechanicalinc.com/hello-world-1/,200,Hello World 1 - Norman Mechanical Inc.,https://normanmechanicalinc.com/hello-world-1/,1,59,13,11,1
https://normanmechanicalinc.com/hello-world-2/,200,Hello World 2 - Norman Mechanical Inc.,https://normanmechanicalinc.com/hello-world-2/,1,59,13,11,1
https://normanmechanicalinc.com/hello-world/,200,Hello world! - Norman Mechanical Inc.,https://normanmechanicalinc.com/hello-world/,1,61,15,12,1
https://normanmechanicalinc.com/,200,"Plumber Near Me Elgin, IL | 24/7 Service | Norman Mechanical",https://normanmechanicalinc.com/,0,79,16,29,1
https://normanmechanicalinc.com/services/water-heaters/,200,"Water Heater Installation & Repair Elgin, IL | Norman Mechanical",https://normanmechanicalinc.com/services/water-heaters/,1,71,16,15,2
https://normanmechanicalinc.com/services/water-line-repair-and-replacement/,200,"Water Line Repair & Replacement Elgin, IL | Norman Mechanical",https://normanmechanicalinc.com/services/water-line-repair-and-replacement/,1,71,16,15,2
https://normanmechanicalinc.com/services/tankless-water-heaters/,200,"Tankless Water Heater Installation Elgin, IL | Norman Mechanical",https://normanmechanicalinc.com/services/tankless-water-heaters/,1,70,16,14,2
https://normanmechanicalinc.com/services/sump-pump/,200,"Sump Pump Installation & Repair Elgin, IL | Norman Mechanical",https://normanmechanicalinc.com/services/sump-pump/,1,71,16,15,2
https://normanmechanicalinc.com/services/sewer-line-repair-and-replacement/,200,"Sewer Line Repair & Replacement Elgin, IL | Norman Mechanical",https://normanmechanicalinc.com/services/sewer-line-repair-and-replacement/,1,71,16,15,2
https://normanmechanicalinc.com/services/sewer-camera-inspection/,200,"Sewer Camera Inspection Elgin, IL | Video Inspection | Norman Mechanical",https://normanmechanicalinc.com/services/sewer-camera-inspection/,1,71,16,15,2
https://normanmechanicalinc.com/services/residential-plumbing/,200,"Residential Plumbing Elgin, IL | Licensed Plumbers | Norman Mechanical",https://normanmechanicalinc.com/services/residential-plumbing/,1,71,16,15,2
https://normanmechanicalinc.com/services/commercial-plumbing/,200,"Commercial Plumbing Elgin, IL | Business Plumbers | Norman Mechanical",https://normanmechanicalinc.com/services/commercial-plumbing/,1,71,16,15,2
https://normanmechanicalinc.com/services/new-construction/,200,"New Construction Plumbing Elgin, IL | Builders | Norman Mechanical",https://normanmechanicalinc.com/services/new-construction/,1,71,16,15,2
https://normanmechanicalinc.com/services/gas-line-repair-and-replacement/,200,"Gas Line Repair & Installation Elgin, IL | Norman Mechanical",https://normanmechanicalinc.com/services/gas-line-repair-and-replacement/,1,71,16,15,2
https://normanmechanicalinc.com/services/emergency-service/,200,"Emergency Plumber Elgin, IL | 24/7 Service | Norman Mechanical",https://normanmechanicalinc.com/services/emergency-service/,1,71,16,15,2
https://normanmechanicalinc.com/services/drain-cleaning/,200,"Drain Cleaning Elgin, IL | Clogged Drain Service | Norman Mechanical",https://normanmechanicalinc.com/services/drain-cleaning/,1,71,16,15,2
https://normanmechanicalinc.com/contact-us/,200,Contact Norman Mechanical | Call 773-4NORMAN | Elgin Plumber,https://normanmechanicalinc.com/contact-us/,1,58,16,17,2
https://normanmechanicalinc.com/services/,200,"Plumbing Services Elgin, IL | Full Service Plumber | Norman Mechanical",https://normanmechanicalinc.com/services/,1,70,16,25,2
https://normanmechanicalinc.com/about-us/,200,"About Norman Mechanical | Licensed Plumbers Elgin, IL",https://normanmechanicalinc.com/about-us/,1,59,16,15,2
https://normanmechanicalinc.com/privacy-policy/,200,Privacy Policy | Norman Mechanical,https://normanmechanicalinc.com/privacy-policy/,1,58,13,11,2
https://normanmechanicalinc.com/category/uncategorized/,200,Uncategorized - Norman Mechanical Inc.,https://normanmechanicalinc.com/category/uncategorized/,1,62,13,11,1
https://normanmechanicalinc.com/emergency-service/,200,"Emergency Plumber Elgin, IL | 24/7 Service | Norman Mechanical",https://normanmechanicalinc.com/services/emergency-service/,1,71,16,15,2
https://normanmechanicalinc.com/drain-cleaning/,200,"Drain Cleaning Elgin, IL | Clogged Drain Service | Norman Mechanical",https://normanmechanicalinc.com/services/drain-cleaning/,1,71,16,15,2
